Date,Total_count,Msp_sum,Pref_1,Pref_2,Pref_3,Pref_4,Pref_5,Pref_6,Pref_7,Pref_8,Pref_9,Pref_10,Pref_11,Pref_12,Pref_13,Pref_14,Pref_15,Pref_16,Pref_17,Pref_18,Pref_19,Pref_20,Pref_21,Pref_22,Pref_23,Pref_24,Pref_25,Pref_26,Pref_27,Pref_28,Pref_29,Pref_30,Pref_31,Pref_32,Msp_1,Msp_2,Msp_3,Msp_4,Msp_5,Msp_6,Msp_7,Msp_8,Msp_9,Msp_10,Msp_11,Msp_12,Msp_13,Msp_14,Msp_15,Msp_16,Msp_17,Msp_18,Msp_19,Msp_20,Msp_21,Msp_22,Msp_23,Msp_24,Msp_25,Msp_26,Msp_27,Msp_28,Msp_29,Msp_30,Msp_31,Msp_32,Per_8
2013-11-12,477716,45276,0,0,0,0,0,0,0,16,11,31,92,253,474,926,1630,12808,6788,11190,22995,32704,35491,49539,43697,248850,33,60,94,93,8923,414,148,455,0,0,0,0,0,0,0,15,9,21,65,147,264,539,762,4337,2471,3879,6026,7734,6701,7036,5190,9,3,1,4,0,63,0,0,0,158.18281757831573
2013-11-13,478068,45241,0,0,0,0,0,0,0,16,11,31,92,253,474,925,1629,12802,6757,11183,22958,32763,35487,49533,43724,249120,33,60,94,93,9013,417,148,451,0,0,0,0,0,0,0,15,9,21,65,148,264,536,760,4314,2453,3867,6029,7751,6694,7032,5200,9,3,1,4,0,66,0,0,0,158.22465646266937
2013-11-20,478982,45387,0,0,0,0,0,0,0,16,11,31,94,254,475,925,1627,12812,6785,11193,22975,32762,35520,49634,43642,249949,34,60,94,93,9007,384,148,456,0,0,0,0,0,0,0,15,9,21,66,149,264,538,762,4329,2460,3878,6033,7803,6715,7073,5204,9,3,1,4,0,51,0,0,0,158.4688357114792
2013-11-21,479190,45412,0,0,0,0,0,0,0,16,11,31,92,253,474,925,1629,12799,6789,11189,22982,32859,35572,49647,43731,249896,34,60,94,93,8997,417,148,451,0,0,0,0,0,0,0,15,9,21,65,148,264,539,762,4328,2461,3867,6032,7800,6714,7078,5226,9,3,1,4,0,66,0,0,0,158.13008749485016
2013-11-22,478766,45406,0,0,0,0,0,0,0,16,11,31,92,253,474,926,1631,12793,6802,11178,22990,32877,35605,49651,43741,249392,34,60,93,92,9013,415,148,447,0,0,0,0,0,0,0,15,9,21,65,148,264,539,763,4333,2465,3876,6031,7820,6727,7047,5201,9,3,1,4,0,65,0,0,0,158.1636973619461
2013-11-23,479081,45410,0,0,0,0,0,0,0,16,11,31,92,253,474,927,1629,12790,6799,11176,22981,32888,35582,49664,43751,249684,34,60,94,92,9034,416,148,454,0,0,0,0,0,0,0,15,9,21,65,147,264,538,761,4333,2458,3875,6040,7797,6702,7073,5229,9,3,1,4,0,66,0,0,0,158.188680768013
2013-11-24,478782,45364,0,0,0,0,0,0,0,16,11,31,92,253,474,928,1631,12788,6803,11171,22982,32865,35597,49669,43724,249424,34,60,94,93,9022,416,148,455,0,0,0,0,0,0,0,15,9,21,65,147,264,539,761,4334,2459,3875,6039,7747,6690,7077,5239,9,3,1,4,0,66,0,0,0,158.20470011234283
2013-11-25,478747,45408,0,0,0,0,0,0,0,16,11,31,92,253,474,928,1630,12794,6804,11178,22991,32862,35505,49683,43726,249465,34,60,94,93,8997,415,148,462,0,0,0,0,0,0,0,15,9,21,65,147,264,539,761,4337,2461,3875,6040,7773,6704,7077,5238,9,3,1,4,0,65,0,0,0,158.20152008533478
2013-11-26,478941,45430,0,0,0,0,0,0,0,16,11,31,92,253,474,928,1632,12804,6799,11173,22993,32871,35600,49717,43758,249575,33,60,92,90,8917,416,148,457,0,0,0,0,0,0,0,15,9,21,65,147,264,539,762,4337,2456,3875,6035,7754,6722,7083,5262,9,3,1,4,0,67,0,0,0,158.23315411806107
2013-11-27,479422,45478,0,0,0,0,0,0,0,16,11,31,92,253,474,928,1632,12812,6806,11204,23000,32895,35641,49736,43785,249736,34,60,94,93,9063,418,148,459,0,0,0,0,0,0,0,15,9,21,65,147,264,540,763,4333,2474,3883,6044,7763,6734,7071,5268,9,3,1,4,0,67,0,0,0,158.26884251832962
