Date,Total_count,Msp_sum,Pref_1,Pref_2,Pref_3,Pref_4,Pref_5,Pref_6,Pref_7,Pref_8,Pref_9,Pref_10,Pref_11,Pref_12,Pref_13,Pref_14,Pref_15,Pref_16,Pref_17,Pref_18,Pref_19,Pref_20,Pref_21,Pref_22,Pref_23,Pref_24,Pref_25,Pref_26,Pref_27,Pref_28,Pref_29,Pref_30,Pref_31,Pref_32,Msp_1,Msp_2,Msp_3,Msp_4,Msp_5,Msp_6,Msp_7,Msp_8,Msp_9,Msp_10,Msp_11,Msp_12,Msp_13,Msp_14,Msp_15,Msp_16,Msp_17,Msp_18,Msp_19,Msp_20,Msp_21,Msp_22,Msp_23,Msp_24,Msp_25,Msp_26,Msp_27,Msp_28,Msp_29,Msp_30,Msp_31,Msp_32,Per_8
2013-11-03,474008,46447,0,0,0,0,0,0,0,16,11,31,92,254,474,922,1636,12847,6872,11353,23332,33111,35961,50657,44231,252108,1,2,4,12,12,56,2,10,0,0,0,0,0,0,0,15,9,21,65,148,266,536,777,4385,2568,4042,6344,7917,6839,7143,5368,1,0,0,1,0,0,2,0,0,158.06746703386307
2013-11-04,474008,46416,0,0,0,0,0,0,0,16,11,31,92,254,474,922,1636,12850,6872,11362,23349,33112,35967,50396,44256,252307,1,2,4,12,12,57,2,10,0,0,0,0,0,0,0,15,9,21,65,148,266,536,778,4385,2569,4052,6347,7910,6824,7121,5366,1,0,0,1,0,0,2,0,0,158.06632286310196
2013-11-05,473513,46391,0,0,0,0,0,0,0,16,11,31,92,254,473,922,1634,12844,6885,11356,23342,33091,35959,50266,44188,252048,1,2,4,12,12,57,2,10,0,0,0,0,0,0,0,15,9,21,65,148,265,536,775,4383,2570,4048,6347,7887,6809,7134,5375,1,0,0,1,0,0,2,0,0,158.07112938165665
2013-11-06,473425,46377,0,0,0,0,0,0,0,17,11,31,92,254,473,922,1637,12839,6890,11364,23366,33152,35956,50174,44133,252013,1,2,4,12,12,57,2,10,0,0,0,0,0,0,0,16,9,21,65,148,265,536,778,4383,2572,4050,6362,7880,6810,7126,5352,1,0,0,1,0,0,2,0,0,158.1056142449379
2013-11-07,473692,46370,0,0,0,0,0,0,0,16,11,31,92,254,474,924,1637,12840,6892,11357,23368,33138,35980,50172,44141,252242,7,3,8,15,17,59,2,11,0,0,0,0,0,0,0,15,9,21,65,149,265,536,775,4381,2575,4053,6345,7876,6804,7136,5359,3,0,0,1,0,0,2,0,0,158.09960371255875
2013-11-08,474214,46434,0,0,0,0,0,0,0,16,11,31,92,254,474,925,1636,12845,6896,11375,23443,33163,36006,50136,44236,252554,7,3,8,15,17,58,2,10,0,0,0,0,0,0,0,15,9,21,65,149,265,539,775,4382,2576,4058,6353,7879,6832,7142,5369,3,0,0,1,0,0,1,0,0,158.13471394777298
2013-11-09,474262,46408,0,0,0,0,0,0,0,16,11,31,92,254,474,925,1636,12846,6895,11377,23484,33162,35989,50223,44213,252513,7,3,8,15,17,58,2,10,0,0,0,0,0,0,0,15,9,21,65,149,265,539,776,4381,2572,4057,6357,7877,6826,7145,5349,3,0,0,1,0,0,1,0,0,158.1483400464058
2013-11-10,474337,46403,0,0,0,0,0,0,0,16,11,31,92,254,475,925,1636,12852,6896,11381,23472,33157,35989,50244,44244,252541,7,3,8,15,17,58,2,10,0,0,0,0,0,0,0,15,9,21,65,149,266,539,776,4387,2575,4060,6368,7876,6817,7149,5326,3,0,0,1,0,0,1,0,0,158.14318257570267
2013-11-12,474626,46402,0,0,0,0,0,0,0,16,11,31,92,253,474,925,1635,12837,6898,11388,23459,33166,35995,50245,44261,252819,7,3,8,15,17,58,2,10,0,0,0,0,0,0,0,15,9,21,65,148,264,540,775,4384,2575,4063,6364,7870,6814,7160,5330,3,0,0,1,0,0,1,0,0,158.1623781323433
2013-11-13,474761,46334,0,0,0,0,0,0,0,16,11,31,92,253,474,924,1633,12835,6867,11375,23407,33189,35957,50265,44302,253008,7,3,8,15,17,59,2,10,0,0,0,0,0,0,0,15,9,21,65,149,264,537,771,4369,2560,4050,6351,7871,6812,7145,5340,3,0,0,1,0,0,1,0,0,158.1668489575386
2013-11-14,476814,46445,0,0,0,0,0,0,0,16,11,31,92,253,474,924,1634,12827,6877,11380,23436,33226,36194,50552,44892,253874,7,3,8,15,17,58,2,10,0,0,0,0,0,0,0,15,9,21,65,149,264,537,772,4429,2559,4048,6354,7890,6823,7162,5343,3,0,0,1,0,0,1,0,0,158.1568849682808
2013-11-15,476873,46442,0,0,0,0,0,0,0,16,11,31,92,253,474,924,1632,12824,6876,11384,23426,33251,36213,50410,44927,254007,7,3,8,16,17,59,2,9,0,0,0,0,0,0,0,15,9,21,65,149,264,536,771,4425,2561,4044,6352,7903,6810,7159,5353,3,0,0,1,0,0,1,0,0,158.14241963624954
2013-11-16,475387,46446,0,0,0,0,0,0,0,16,11,31,92,254,474,924,1636,12831,6893,11387,23443,33265,36049,50349,44284,253324,7,3,8,16,17,60,2,10,0,0,0,0,0,0,0,15,9,21,65,150,264,536,774,4376,2569,4052,6360,7916,6832,7147,5354,3,0,0,1,0,0,2,0,0,158.17090779542923
2013-11-17,475450,46423,0,0,0,0,0,0,0,16,11,31,92,254,474,924,1636,12827,6892,11387,23437,33259,36027,50346,44231,253482,7,3,8,16,17,60,2,10,0,0,0,0,0,0,0,15,9,21,65,150,264,537,775,4374,2569,4049,6352,7903,6832,7143,5359,3,0,0,1,0,0,2,0,0,158.15096455812454
2013-11-18,475683,46461,0,0,0,0,0,0,0,16,11,31,92,254,474,924,1636,12828,6893,11388,23439,33263,36032,50364,44284,253632,7,3,8,15,16,60,2,10,0,0,0,0,0,0,0,15,9,21,65,150,264,537,775,4376,2569,4051,6361,7910,6829,7145,5378,3,0,0,1,0,0,2,0,0,158.16225463151932
2013-11-23,476026,46572,0,0,0,0,0,0,0,16,11,31,92,253,474,927,1633,12819,6905,11363,23420,33327,36094,50410,44347,253778,7,3,8,16,17,62,2,10,0,0,0,0,0,0,0,15,9,21,65,148,264,538,773,4381,2565,4053,6372,7938,6837,7209,5378,3,0,0,1,0,0,2,0,0,158.14501386880875
2013-11-24,475633,46492,0,0,0,0,0,0,0,16,11,31,92,253,474,928,1633,12818,6910,11353,23406,33285,36101,50412,44324,253460,7,3,8,16,17,62,2,10,0,0,0,0,0,0,0,15,9,21,65,148,264,539,772,4380,2562,4049,6360,7887,6815,7210,5390,3,0,0,1,0,0,2,0,0,158.15029340982437
