Date,Total_count,Msp_sum,Pref_1,Pref_2,Pref_3,Pref_4,Pref_5,Pref_6,Pref_7,Pref_8,Pref_9,Pref_10,Pref_11,Pref_12,Pref_13,Pref_14,Pref_15,Pref_16,Pref_17,Pref_18,Pref_19,Pref_20,Pref_21,Pref_22,Pref_23,Pref_24,Pref_25,Pref_26,Pref_27,Pref_28,Pref_29,Pref_30,Pref_31,Pref_32,Msp_1,Msp_2,Msp_3,Msp_4,Msp_5,Msp_6,Msp_7,Msp_8,Msp_9,Msp_10,Msp_11,Msp_12,Msp_13,Msp_14,Msp_15,Msp_16,Msp_17,Msp_18,Msp_19,Msp_20,Msp_21,Msp_22,Msp_23,Msp_24,Msp_25,Msp_26,Msp_27,Msp_28,Msp_29,Msp_30,Msp_31,Msp_32,Per_8
2013-11-02,492022,48794,0,0,0,0,0,0,0,16,11,31,92,254,475,932,1659,12894,6957,11489,23419,33818,36381,51053,45159,258123,1081,1159,608,1089,1701,1528,57,2035,0,0,0,0,0,0,0,15,9,21,65,150,273,549,797,4517,2657,4170,6771,8134,7029,7350,5629,589,22,8,5,8,3,23,0,0,158.24659669399261
2013-11-03,492123,48880,0,0,0,0,0,0,0,16,11,31,92,254,475,932,1659,12896,6956,11487,23453,33840,36391,51261,45221,258107,1074,1155,609,1087,1699,1542,57,1817,0,0,0,0,0,0,0,15,9,21,65,150,273,549,799,4520,2658,4173,6776,8168,7045,7366,5647,577,22,8,5,8,3,23,0,0,158.24214112758636
2013-11-04,492124,48857,0,0,0,0,0,0,0,16,11,31,92,254,475,932,1659,12899,6956,11496,23466,33838,36396,50999,45247,258303,1076,1156,610,1089,1702,1534,40,1846,0,0,0,0,0,0,0,15,9,21,65,150,273,549,799,4518,2657,4185,6780,8160,7032,7345,5648,582,22,8,5,8,3,23,0,0,158.24052369594574
2013-11-05,491625,48812,0,0,0,0,0,0,0,16,11,31,92,254,474,932,1657,12895,6970,11491,23459,33812,36390,50868,45173,258037,1078,1154,610,1091,1703,1537,40,1849,0,0,0,0,0,0,0,15,9,21,65,150,272,549,796,4519,2662,4176,6776,8138,7015,7346,5653,582,21,8,5,8,3,23,0,0,158.24618470668793
2013-11-06,491482,48770,0,0,0,0,0,0,0,17,11,31,92,254,474,932,1660,12890,6975,11495,23482,33863,36364,50745,45082,257988,1109,1163,614,1095,1704,1541,39,1861,0,0,0,0,0,0,0,16,9,21,65,150,272,549,799,4514,2662,4174,6783,8123,7018,7341,5626,579,21,8,6,8,3,23,0,0,158.27799928188324
2013-11-07,491758,48753,0,0,0,0,0,0,0,16,11,31,92,254,475,934,1660,12889,6977,11493,23486,33852,36391,50744,45087,258191,1117,1173,614,1094,1705,1555,57,1859,0,0,0,0,0,0,0,15,9,21,65,151,272,549,796,4512,2664,4177,6762,8117,7011,7342,5629,589,22,8,6,8,3,25,0,0,158.27505439519882
2013-11-08,492155,48809,0,0,0,0,0,0,0,16,11,31,92,254,475,934,1659,12896,6981,11511,23557,33877,36412,50710,45186,258505,1073,1162,615,1092,1706,1565,58,1776,0,0,0,0,0,0,0,15,9,21,65,151,272,552,796,4514,2665,4181,6777,8128,7035,7352,5641,564,22,8,5,8,3,25,0,0,158.30056703090668
2013-11-09,492208,48786,0,0,0,0,0,0,0,16,11,31,92,254,475,934,1659,12897,6980,11513,23598,33878,36396,50788,45169,258442,1069,1159,612,1094,1709,1571,58,1802,0,0,0,0,0,0,0,15,9,21,65,151,272,552,797,4515,2661,4182,6774,8122,7032,7351,5622,573,21,8,5,8,3,27,0,0,158.31416261196136
2013-11-10,492844,48927,0,0,0,0,0,0,0,16,11,31,92,254,476,934,1659,12904,6982,11517,23603,33899,36418,50863,45278,258934,1111,1172,611,1092,1698,1567,58,1663,0,0,0,0,0,0,0,15,9,21,65,151,273,553,797,4522,2664,4185,6790,8135,7048,7393,5647,586,22,8,5,8,3,27,0,0,158.3195184469223
2013-11-11,493109,48965,0,0,0,0,0,0,0,16,11,31,92,254,475,934,1659,12897,6984,11520,23605,33909,36442,50864,45250,259012,1107,1168,612,1094,1709,1579,57,1827,0,0,0,0,0,0,0,15,9,21,65,151,272,553,797,4515,2668,4187,6796,8142,7061,7404,5655,583,20,8,5,8,3,27,0,0,158.3273767232895
2013-11-12,493210,48915,0,0,0,0,0,0,0,16,11,31,92,254,475,934,1659,12898,6986,11523,23591,33911,36431,50863,45283,259128,1109,1171,613,1101,1711,1582,57,1779,0,0,0,0,0,0,0,15,9,21,65,151,271,553,797,4519,2666,4187,6792,8138,7049,7396,5641,574,20,8,5,8,3,27,0,0,158.33450257778168
2013-11-13,492876,48748,0,0,0,0,0,0,0,16,11,31,92,253,475,933,1656,12883,6954,11505,23513,33899,36352,50856,45258,259024,1109,1172,611,1101,1713,1597,58,1803,0,0,0,0,0,0,0,15,9,21,65,151,271,550,793,4501,2647,4174,6768,8131,7023,7370,5619,570,20,8,5,8,3,26,0,0,158.33296144008636
2013-11-14,495046,48855,0,0,0,0,0,0,0,16,11,31,92,253,475,933,1657,12874,6962,11493,23553,33944,36601,51159,45869,259947,1106,1171,611,1102,1713,1597,58,1817,0,0,0,0,0,0,0,15,9,21,65,151,271,551,795,4559,2645,4155,6782,8145,7040,7383,5627,572,20,8,4,8,3,26,0,0,158.31556636095047
2013-11-15,494987,48846,0,0,0,0,0,0,0,16,11,31,92,253,475,933,1655,12872,6962,11495,23538,33962,36614,51000,45887,259955,1110,1168,612,1109,1718,1627,62,1829,0,0,0,0,0,0,0,15,9,21,65,151,271,550,793,4557,2648,4148,6770,8153,7024,7380,5632,590,20,8,4,8,3,26,0,0,158.3062881231308
2013-11-16,493678,48875,0,0,0,0,0,0,0,16,11,31,92,254,475,933,1659,12879,6981,11500,23560,33984,36451,50947,45247,259399,1108,1169,612,1106,1713,1627,63,1860,0,0,0,0,0,0,0,15,9,21,65,152,271,551,796,4509,2659,4157,6781,8175,7048,7369,5630,597,20,8,4,8,3,27,0,0,158.33264768123627
2013-11-17,493562,48844,0,0,0,0,0,0,0,16,11,31,92,254,475,933,1659,12878,6981,11498,23552,33970,36425,50918,45185,259449,1101,1166,607,1093,1709,1647,63,1848,0,0,0,0,0,0,0,15,9,21,65,152,271,551,796,4507,2659,4152,6771,8154,7047,7363,5639,604,19,8,4,8,3,26,0,0,158.32663571834564
2013-11-18,494057,48882,0,0,0,0,0,0,0,16,11,31,92,254,475,933,1659,12875,6981,11499,23553,33974,36428,50932,45237,259587,1107,1167,607,1097,1713,1647,63,2118,0,0,0,0,0,0,0,15,9,21,65,152,271,551,795,4509,2655,4153,6779,8163,7044,7366,5658,607,19,8,4,8,3,27,0,0,158.32198178768158
2013-11-19,494291,48963,0,0,0,0,0,0,0,16,11,31,92,254,475,933,1657,12883,6981,11506,23559,33937,36461,50990,45305,259870,1102,1168,621,1125,1721,1666,62,1864,0,0,0,0,0,0,0,15,9,21,65,152,271,552,796,4511,2653,4165,6781,8181,7049,7388,5654,626,19,8,4,12,4,27,0,0,158.33400577306747
2013-11-20,494160,48959,0,0,0,0,0,0,0,16,11,31,94,254,476,933,1655,12887,6980,11501,23546,33916,36446,50959,45223,259950,1104,1168,612,1124,1721,1675,63,1814,0,0,0,0,0,0,0,15,9,21,66,152,271,552,795,4508,2651,4167,6781,8190,7049,7403,5645,609,19,8,4,12,4,28,0,0,158.57526248693466
2013-11-21,494280,48917,0,0,0,0,0,0,0,16,11,31,92,253,474,933,1655,12872,6975,11492,23545,34005,36492,50977,45304,259873,1105,1165,612,1118,1720,1675,64,1820,0,0,0,0,0,0,0,15,9,21,65,151,270,552,793,4503,2647,4149,6784,8187,7044,7401,5643,608,19,8,4,12,4,28,0,0,158.24240750074387
2013-11-22,493933,48944,0,0,0,0,0,0,0,16,11,31,92,253,475,934,1657,12866,6996,11486,23553,34035,36510,50988,45298,259425,1102,1166,614,1126,1721,1676,64,1837,0,0,0,0,0,0,0,15,9,21,65,151,271,553,795,4515,2658,4163,6787,8205,7050,7378,5627,606,19,8,4,12,4,28,0,0,158.27541226148605
2013-11-23,494234,48987,0,0,0,0,0,0,0,16,11,31,92,253,475,935,1658,12867,6993,11486,23543,34046,36512,51023,45318,259679,1105,1165,615,1117,1716,1690,63,1824,0,0,0,0,0,0,0,15,9,21,65,150,271,552,795,4516,2653,4163,6802,8194,7040,7418,5655,592,19,8,5,12,4,28,0,0,158.30463242530823
2013-11-24,493939,48946,0,0,0,0,0,0,0,16,11,31,92,253,475,936,1658,12866,6998,11488,23542,34027,36525,51026,45291,259342,1101,1165,616,1114,1721,1718,63,1863,0,0,0,0,0,0,0,15,9,21,65,150,271,553,793,4515,2655,4164,6801,8142,7024,7419,5666,607,19,8,5,12,4,28,0,0,158.31389445066452
2013-11-25,494259,48999,0,0,0,0,0,0,0,16,11,31,92,253,475,936,1658,12870,6999,11495,23555,34029,36519,51032,45298,259626,1099,1166,612,1114,1716,1720,63,1873,0,0,0,0,0,0,0,15,9,21,65,150,271,553,794,4517,2656,4164,6802,8165,7043,7427,5670,601,19,8,5,12,4,28,0,0,158.3193547129631
2013-11-26,494398,49026,0,0,0,0,0,0,0,16,11,31,92,253,475,936,1658,12875,6991,11492,23554,34030,36524,51078,45322,259645,1099,1166,614,1114,1714,1712,63,1932,0,0,0,0,0,0,0,15,9,21,65,150,271,553,794,4519,2651,4165,6799,8145,7061,7437,5687,609,19,8,5,12,4,27,0,0,158.3365973830223
2013-11-27,494724,49058,0,0,0,0,0,0,0,16,11,31,92,253,475,936,1658,12887,6999,11520,23558,34053,36560,51085,45321,259840,1105,1167,613,1103,1720,1726,65,1929,0,0,0,0,0,0,0,15,9,21,65,150,271,554,795,4518,2667,4169,6806,8161,7068,7417,5683,614,19,8,5,12,4,27,0,0,158.38586801290512
2013-11-28,494440,49045,0,0,0,0,0,0,0,16,11,31,92,253,476,936,1659,12891,7003,11487,23587,34047,36412,51087,45281,259765,1109,1162,617,1115,1721,1731,65,1885,0,0,0,0,0,0,0,15,9,21,65,150,270,554,792,4519,2666,4167,6809,8153,7086,7407,5666,621,19,8,5,12,4,27,0,0,158.39831918478012
2013-11-29,494626,49109,0,0,0,0,0,0,0,16,11,31,92,253,476,936,1661,12895,7004,11468,23589,34061,36437,51133,45301,259900,1109,1168,613,1091,1714,1716,65,1885,0,0,0,0,0,0,0,15,9,21,65,150,271,554,794,4519,2664,4146,6820,8152,7092,7436,5723,608,19,8,5,9,3,26,0,0,158.42856204509735
2013-11-30,502755,50649,0,0,0,0,0,0,0,16,11,31,92,253,477,943,1670,13006,7041,11684,23897,35272,37151,51646,46160,263183,1896,1168,618,1113,1715,1721,65,1925,0,0,0,0,0,0,0,15,9,21,65,151,277,567,831,4642,2726,4290,7003,8620,7326,7501,5795,733,21,8,5,12,4,27,0,0,158.4834651350975
