Date,Total_count,Msp_sum,Pref_1,Pref_2,Pref_3,Pref_4,Pref_5,Pref_6,Pref_7,Pref_8,Pref_9,Pref_10,Pref_11,Pref_12,Pref_13,Pref_14,Pref_15,Pref_16,Pref_17,Pref_18,Pref_19,Pref_20,Pref_21,Pref_22,Pref_23,Pref_24,Pref_25,Pref_26,Pref_27,Pref_28,Pref_29,Pref_30,Pref_31,Pref_32,Msp_1,Msp_2,Msp_3,Msp_4,Msp_5,Msp_6,Msp_7,Msp_8,Msp_9,Msp_10,Msp_11,Msp_12,Msp_13,Msp_14,Msp_15,Msp_16,Msp_17,Msp_18,Msp_19,Msp_20,Msp_21,Msp_22,Msp_23,Msp_24,Msp_25,Msp_26,Msp_27,Msp_28,Msp_29,Msp_30,Msp_31,Msp_32,Per_8
2014-02-01,486049,46469,0,0,0,0,0,0,0,16,13,30,92,253,477,948,1656,12872,6834,11373,23595,33366,35991,50838,44360,253613,35,60,97,91,8654,402,148,234,0,0,0,0,0,0,0,15,11,21,65,145,267,551,769,4394,2529,4007,6202,7929,6936,7235,5321,12,4,1,6,0,49,0,0,0,158.9190692305565
2014-02-02,485967,46490,0,0,0,0,0,0,0,16,13,30,92,253,477,948,1656,12873,6834,11372,23590,33374,35991,50862,44381,253534,35,60,98,91,8600,404,148,234,0,0,0,0,0,0,0,15,11,21,65,145,267,551,769,4395,2526,4007,6202,7930,6939,7237,5337,12,4,1,6,0,50,0,0,0,158.91176027059555
2014-02-03,486241,46526,0,0,0,0,0,0,0,16,13,30,92,253,477,948,1656,12873,6834,11374,23596,33395,36012,50909,44405,253683,35,60,99,91,8605,402,148,234,0,0,0,0,0,0,0,15,11,21,65,145,267,551,769,4397,2529,4007,6206,7946,6951,7241,5333,12,4,1,6,0,49,0,0,0,158.91941994428635
2014-02-04,486348,46529,0,0,0,0,0,0,0,16,13,30,92,254,477,948,1656,12872,6835,11375,23594,33395,36020,50892,44408,253688,35,59,98,92,8710,405,148,235,0,0,0,0,0,0,0,15,11,21,65,146,267,551,769,4400,2529,4008,6202,7945,6959,7248,5321,12,4,1,5,0,50,0,0,0,158.98037880659103
2014-02-05,486439,46503,0,0,0,0,0,0,0,16,13,30,92,253,477,949,1656,12873,6834,11371,23596,33367,36032,50905,44411,253760,35,60,98,92,8728,407,148,235,0,0,0,0,0,0,0,15,11,21,65,145,267,551,769,4399,2530,4004,6204,7929,6950,7256,5315,12,4,1,5,0,50,0,0,0,158.93286246061325
2014-02-06,486716,46592,0,0,0,0,0,0,0,16,13,30,92,253,477,949,1656,12870,6832,11372,23600,33314,36012,50934,44501,254049,35,60,98,92,8670,407,148,235,0,0,0,0,0,0,0,15,11,21,65,145,268,551,769,4401,2524,4004,6204,7952,6962,7286,5342,12,4,1,5,0,50,0,0,0,158.9343587756157
2014-02-07,486963,46638,0,0,0,0,0,0,0,16,13,30,92,253,477,954,1662,12869,6842,11379,23621,33415,36024,50979,44514,254047,35,60,98,92,8699,407,148,236,0,0,0,0,0,0,0,15,11,21,65,145,268,556,773,4403,2529,4008,6206,7968,6970,7282,5345,12,4,1,5,0,51,0,0,0,158.998888194561
2014-02-08,487095,46683,0,0,0,0,0,0,0,16,13,30,92,253,477,955,1660,12861,6835,11381,23637,33424,36037,51036,44562,254199,35,60,98,92,8551,407,148,235,0,0,0,0,0,0,0,15,11,21,65,145,268,557,773,4405,2528,4009,6215,7982,6965,7298,5354,12,4,1,5,0,50,0,0,0,158.95387476682663
2014-02-09,486934,46677,0,0,0,0,0,0,0,16,13,30,92,253,477,955,1660,12861,6842,11384,23640,33414,36022,51040,44532,254112,35,60,98,92,8519,402,148,236,0,0,0,0,0,0,0,15,11,21,65,145,268,557,774,4405,2531,4010,6216,7981,6965,7289,5352,12,4,1,5,0,50,0,0,0,158.9413918852806
2014-02-10,487252,46693,0,0,0,0,0,0,0,16,13,30,92,253,477,955,1660,12864,6843,11386,23638,33417,36028,51042,44553,254373,35,60,98,92,8538,406,147,235,0,0,0,0,0,0,0,15,11,21,65,145,268,557,774,4402,2535,4010,6215,7982,6968,7290,5363,12,4,1,5,0,50,0,0,0,158.95709437131882
2014-02-11,487715,46711,0,0,0,0,0,0,0,16,13,30,92,253,478,958,1660,12864,6845,11394,23658,33396,36026,51072,44603,254610,35,60,98,91,8670,407,148,237,0,0,0,0,0,0,0,15,11,21,65,145,269,559,774,4403,2534,4014,6211,7993,6965,7303,5357,12,4,1,5,0,50,0,0,0,159.0401937365532
2014-02-12,487603,46709,0,0,0,0,0,0,0,16,12,30,90,253,478,958,1659,12859,6852,11381,23645,33311,36021,51097,44514,254690,35,60,98,92,8660,406,148,237,0,0,0,0,0,0,0,15,11,21,64,145,269,559,777,4403,2538,4017,6198,7984,6956,7297,5383,12,4,1,5,0,50,0,0,0,158.27070826292038
2014-02-13,487827,46711,0,0,0,0,0,0,0,16,12,30,90,254,478,959,1661,12865,6850,11388,23656,33363,36028,51169,44554,254717,35,60,100,91,8661,405,148,236,0,0,0,0,0,0,0,15,11,21,64,146,269,560,778,4398,2542,4014,6202,7975,6968,7314,5361,12,4,1,7,0,49,0,0,0,158.37500208616257
2014-02-14,487703,46674,0,0,0,0,0,0,0,16,12,30,90,254,478,959,1661,12861,6839,11370,23654,33380,36033,51153,44571,254465,35,60,100,92,8799,405,148,237,0,0,0,0,0,0,0,15,11,21,64,146,269,559,777,4386,2530,4004,6201,7980,6976,7294,5367,13,4,1,7,0,49,0,0,0,158.37489527463913
2014-02-15,487916,46729,0,0,0,0,0,0,0,16,12,30,90,254,478,959,1665,12867,6850,11370,23658,33362,36033,51185,44638,254606,35,60,100,92,8767,404,148,236,0,0,0,0,0,0,0,15,11,21,63,146,269,560,778,4394,2536,4005,6203,7976,6992,7317,5371,12,4,1,7,0,48,0,0,0,158.4001333117485
2014-02-16,488162,46755,0,0,0,0,0,0,0,16,12,30,90,255,478,959,1663,12865,6851,11388,23661,33420,36053,51182,44640,254844,35,60,100,92,8681,403,147,236,0,0,0,0,0,0,0,15,11,21,63,146,269,560,779,4397,2536,4009,6208,7989,6994,7310,5376,12,4,1,7,0,48,0,0,0,158.437013566494
2014-02-17,488050,46724,0,0,0,0,0,0,0,16,12,30,90,255,478,959,1663,12864,6853,11388,23656,33426,36047,51159,44632,254805,35,59,100,92,8645,404,147,234,0,0,0,0,0,0,0,15,11,21,63,146,269,560,779,4393,2535,4009,6203,7981,6995,7307,5365,12,4,1,7,0,48,0,0,0,158.42978113889694
2014-02-18,488686,46840,0,0,0,0,0,0,0,16,12,30,90,255,478,960,1663,12868,6852,11392,23627,33471,36120,51221,44703,255129,35,60,100,92,8724,403,147,237,0,0,0,0,0,0,0,15,11,21,63,146,269,561,779,4398,2548,4014,6203,7997,7010,7340,5392,12,4,1,7,0,49,0,0,0,158.45398062467575
2014-02-19,488612,46797,0,0,0,0,0,0,0,16,12,30,90,255,478,960,1664,12869,6858,11404,23647,33435,36135,51206,44704,255069,35,60,99,92,8704,404,148,237,0,0,0,0,0,0,0,15,11,21,63,146,268,560,779,4405,2549,4025,6193,7980,7001,7332,5376,12,4,1,7,0,49,0,0,0,158.48236221075058
2014-02-20,488586,46729,0,0,0,0,0,0,0,16,12,30,90,255,476,959,1662,12841,6810,11365,23595,33437,36143,51248,44726,255145,35,60,100,91,8702,402,148,237,0,0,0,0,0,0,0,15,11,21,63,146,268,564,776,4377,2534,3999,6182,7987,7001,7336,5377,12,4,1,7,0,48,0,0,0,158.40237540006638
2014-02-21,488554,46776,0,0,0,0,0,0,0,16,12,30,90,255,478,960,1656,12838,6774,11338,23574,33390,36110,51306,44762,255175,35,60,99,92,8716,402,148,237,0,0,0,0,0,0,0,15,11,21,63,146,269,562,773,4383,2527,3998,6197,7990,7002,7360,5387,12,4,1,7,0,48,0,0,0,158.5180522799492
2014-02-23,488774,46801,0,0,0,0,0,0,0,16,12,30,90,255,478,958,1656,12843,6775,11366,23592,33414,36137,51304,44783,255389,35,60,100,92,8601,401,149,237,0,0,0,0,0,0,0,15,11,21,63,146,268,563,772,4381,2536,4004,6197,8002,7012,7361,5378,12,4,1,7,0,47,0,0,0,158.51167410612106
