Date,Total_count,Msp_sum,Pref_1,Pref_2,Pref_3,Pref_4,Pref_5,Pref_6,Pref_7,Pref_8,Pref_9,Pref_10,Pref_11,Pref_12,Pref_13,Pref_14,Pref_15,Pref_16,Pref_17,Pref_18,Pref_19,Pref_20,Pref_21,Pref_22,Pref_23,Pref_24,Pref_25,Pref_26,Pref_27,Pref_28,Pref_29,Pref_30,Pref_31,Pref_32,Msp_1,Msp_2,Msp_3,Msp_4,Msp_5,Msp_6,Msp_7,Msp_8,Msp_9,Msp_10,Msp_11,Msp_12,Msp_13,Msp_14,Msp_15,Msp_16,Msp_17,Msp_18,Msp_19,Msp_20,Msp_21,Msp_22,Msp_23,Msp_24,Msp_25,Msp_26,Msp_27,Msp_28,Msp_29,Msp_30,Msp_31,Msp_32,Per_8
2014-02-02,485900,46495,0,0,0,0,0,0,0,16,13,30,92,253,477,948,1655,12872,6834,11372,23590,33375,35995,50869,44385,253529,32,60,102,90,8628,358,91,233,0,0,0,0,0,0,0,15,11,21,65,145,267,551,768,4394,2526,4007,6202,7931,6940,7242,5340,12,2,1,5,0,50,0,0,0,158.9074096083641
2014-02-03,486152,46541,0,0,0,0,0,0,0,16,13,30,92,253,477,948,1655,12871,6835,11374,23596,33393,36015,50915,44412,253691,32,60,103,90,8598,358,91,233,0,0,0,0,0,0,0,15,11,21,65,145,267,551,768,4396,2530,4007,6207,7946,6953,7247,5342,12,2,1,5,0,50,0,0,0,158.91057008504868
2014-02-04,486102,46500,0,0,0,0,0,0,0,16,13,30,92,254,477,948,1655,12870,6835,11375,23593,33396,36015,50885,44394,253578,32,59,102,91,8706,360,91,234,0,0,0,0,0,0,0,15,11,21,65,146,267,551,768,4397,2528,4007,6201,7945,6956,7244,5309,12,2,1,4,0,50,0,0,0,158.97111296653748
2014-02-05,486262,46503,0,0,0,0,0,0,0,16,13,30,92,253,477,949,1655,12871,6834,11371,23597,33372,36036,50917,44423,253737,32,60,101,91,8649,360,91,234,0,0,0,0,0,0,0,15,11,21,65,145,267,551,768,4397,2530,4004,6206,7930,6950,7259,5315,12,2,1,4,0,50,0,0,0,158.92487978935242
2014-02-06,486505,46560,0,0,0,0,0,0,0,16,13,30,92,253,477,949,1655,12868,6834,11367,23600,33308,36010,50924,44488,254000,32,60,102,91,8653,357,91,234,0,0,0,0,0,0,0,15,11,21,65,145,268,551,768,4400,2523,4003,6202,7948,6962,7278,5332,12,2,1,4,0,49,0,0,0,158.92616295814514
2014-02-08,486945,46683,0,0,0,0,0,0,0,16,13,30,92,253,477,955,1659,12859,6835,11381,23639,33424,36038,51038,44561,254168,32,60,102,91,8537,358,91,235,0,0,0,0,0,0,0,15,11,21,65,145,268,557,772,4403,2528,4008,6215,7981,6967,7304,5354,12,2,1,4,0,50,0,0,0,158.94465565681458
2014-02-09,486812,46675,0,0,0,0,0,0,0,16,13,30,92,253,477,955,1659,12859,6842,11384,23640,33414,36020,51045,44530,254110,32,60,102,91,8508,354,91,234,0,0,0,0,0,0,0,15,11,21,65,145,268,557,773,4403,2531,4010,6215,7983,6966,7290,5354,12,2,1,4,0,49,0,0,0,158.93296480178833
2014-02-10,487114,46687,0,0,0,0,0,0,0,16,13,30,92,253,477,955,1659,12863,6843,11387,23638,33421,36027,51040,44553,254357,32,60,102,91,8523,358,90,233,0,0,0,0,0,0,0,15,11,21,65,145,268,557,773,4401,2535,4010,6214,7984,6969,7288,5363,12,2,1,4,0,49,0,0,0,158.95302945375443
2014-02-11,487608,46702,0,0,0,0,0,0,0,16,13,30,92,253,478,958,1659,12862,6845,11396,23657,33386,36038,51089,44594,254609,32,60,102,90,8666,357,91,234,0,0,0,0,0,0,0,15,11,21,65,145,269,559,773,4401,2533,4015,6211,7993,6964,7300,5358,12,2,1,4,0,50,0,0,0,159.0327426791191
2014-02-12,487755,46724,0,0,0,0,0,0,0,16,12,30,90,253,478,958,1659,12858,6852,11389,23654,33323,36059,51152,44599,254753,32,60,102,91,8649,359,91,235,0,0,0,0,0,0,0,15,11,21,64,145,269,559,776,4402,2538,4017,6201,7984,6963,7302,5388,12,2,1,4,0,50,0,0,0,158.26834058761597
