Date;Total_count;Msp_sum;Pref_1;Pref_2;Pref_3;Pref_4;Pref_5;Pref_6;Pref_7;Pref_8;Pref_9;Pref_10;Pref_11;Pref_12;Pref_13;Pref_14;Pref_15;Pref_16;Pref_17;Pref_18;Pref_19;Pref_20;Pref_21;Pref_22;Pref_23;Pref_24;Pref_25;Pref_26;Pref_27;Pref_28;Pref_29;Pref_30;Pref_31;Pref_32;Msp_1;Msp_2;Msp_3;Msp_4;Msp_5;Msp_6;Msp_7;Msp_8;Msp_9;Msp_10;Msp_11;Msp_12;Msp_13;Msp_14;Msp_15;Msp_16;Msp_17;Msp_18;Msp_19;Msp_20;Msp_21;Msp_22;Msp_23;Msp_24;Msp_25;Msp_26;Msp_27;Msp_28;Msp_29;Msp_30;Msp_31;Msp_32;Per_8
2014.01.31;485992;46491;0;0;0;0;0;0;0;16;11;30;92;253;477;948;1655;12867;6833;11365;23604;33391;35997;50806;44330;253597;35;60;100;92;8660;399;139;234;0;0;0;0;0;0;0;15;9;21;65;145;267;551;769;4396;2527;4007;6202;7952;6936;7232;5323;12;4;1;6;0;51;0;0;0;158.88844913244247
2014.02.01;485976;46457;0;0;0;0;0;0;0;16;13;30;92;253;477;948;1655;12870;6835;11372;23594;33368;35988;50829;44351;253593;35;60;98;91;8642;393;139;233;0;0;0;0;0;0;0;15;11;21;65;145;267;551;768;4392;2529;4006;6202;7929;6936;7231;5317;12;4;1;6;0;49;0;0;0;158.91008031368256
2014.02.02;485942;46487;0;0;0;0;0;0;0;16;13;30;92;253;477;948;1655;12871;6834;11373;23595;33377;35990;50864;44377;253558;35;60;99;91;8565;396;139;233;0;0;0;0;0;0;0;15;11;21;65;145;267;551;768;4394;2527;4007;6202;7930;6938;7237;5336;12;4;1;6;0;50;0;0;0;158.90304911136627
2014.02.03;486212;46525;0;0;0;0;0;0;0;16;13;30;92;253;477;948;1655;12871;6835;11374;23596;33395;36012;50904;44403;253681;35;60;100;91;8601;397;139;233;0;0;0;0;0;0;0;15;11;21;65;145;267;551;768;4396;2530;4007;6206;7947;6951;7240;5332;12;4;1;6;0;50;0;0;0;158.91043651103973
2014.02.04;486429;46543;0;0;0;0;0;0;0;16;13;30;92;254;477;948;1655;12870;6835;11375;23596;33400;36026;50911;44420;253746;35;59;99;92;8709;397;139;234;0;0;0;0;0;0;0;15;11;21;65;146;267;551;768;4397;2529;4008;6205;7948;6962;7250;5328;12;4;1;5;0;50;0;0;0;158.97360342741013
2014.02.05;486391;46511;0;0;0;0;0;0;0;16;13;30;92;253;477;949;1655;12871;6834;11371;23596;33366;36035;50923;44426;253698;35;60;99;92;8728;397;139;235;0;0;0;0;0;0;0;15;11;21;65;145;267;551;768;4397;2530;4004;6207;7932;6951;7258;5316;13;4;1;5;0;50;0;0;0;158.92528170347214
2014.02.06;486665;46566;0;0;0;0;0;0;0;16;13;30;92;253;477;949;1655;12868;6834;11370;23601;33304;36010;50930;44488;254047;35;60;99;92;8670;398;139;234;0;0;0;0;0;0;0;15;11;21;65;145;268;551;768;4400;2524;4004;6204;7947;6959;7276;5336;12;4;1;5;0;50;0;0;0;158.92763179540634
2014.02.07;486989;46640;0;0;0;0;0;0;0;16;13;30;92;253;477;954;1661;12866;6842;11379;23623;33415;36023;50987;44534;254067;35;60;99;92;8697;399;139;235;0;0;0;0;0;0;0;15;11;21;65;145;268;556;772;4401;2529;4008;6208;7968;6973;7281;5346;12;4;1;5;0;51;0;0;0;158.98721760511398
2014.02.08;487046;46679;0;0;0;0;0;0;0;16;13;30;92;253;477;955;1659;12859;6835;11381;23639;33425;36036;51036;44564;254178;35;60;99;92;8541;398;139;233;0;0;0;0;0;0;0;15;11;21;65;145;268;557;772;4403;2528;4010;6215;7981;6965;7298;5354;12;4;1;5;0;49;0;0;0;158.94477999210358
2014.02.09;486909;46672;0;0;0;0;0;0;0;16;13;30;92;253;477;955;1659;12859;6842;11384;23639;33423;36022;51035;44535;254096;35;60;99;92;8519;399;139;235;0;0;0;0;0;0;0;15;11;21;65;145;268;557;773;4403;2530;4010;6216;7981;6964;7289;5352;12;4;1;5;0;50;0;0;0;158.93368929624557
